country_long,disciplines,athletes
Australia,Rhythmic Gymnastics,6
Australia,Rowing,37
Australia,Rugby Sevens,25
Australia,Sailing,12
Australia,Shooting,10
Australia,Skateboarding,9
Australia,Sport Climbing,2
Australia,Surfing,4
Australia,Swimming,41
Australia,Table Tennis,6
Australia,Taekwondo,3
Australia,Tennis,9
Australia,Trampoline Gymnastics,1
Australia,Triathlon,4
Australia,Water Polo,26
Australia,Weightlifting,3
Australia,Wrestling,2
Austria,Archery,1
Austria,Artistic Gymnastics,1
Austria,Artistic Swimming,2
Austria,Athletics,7
Austria,Badminton,1
Austria,Beach Volleyball,2
Austria,Canoe Slalom,3
Austria,Cycling Mountain Bike,3
Austria,Cycling Road,4
Austria,Cycling Track,3
Austria,Diving,1
Austria,Equestrian,10
Austria,Golf,3
Austria,Judo,6
Austria,Marathon Swimming,2
Austria,Rowing,3
Austria,Sailing,9
Austria,Shooting,5
Austria,Sport Climbing,2
Austria,Swimming,7
Austria,Table Tennis,2
Austria,Taekwondo,1
Austria,Tennis,2
Austria,Trampoline Gymnastics,1
Austria,Triathlon,4
Azerbaijan,3x3 Basketball,4
Azerbaijan,Archery,1
Azerbaijan,Athletics,1
Azerbaijan,Badminton,2
Azerbaijan,Boxing,5
Azerbaijan,Fencing,1
Azerbaijan,Judo,9
Azerbaijan,Rhythmic Gymnastics,6
Azerbaijan,Rowing,1
Azerbaijan,Shooting,1
Azerbaijan,Swimming,2
Azerbaijan,Taekwondo,1
Azerbaijan,Trampoline Gymnastics,1
Azerbaijan,Triathlon,1
Azerbaijan,Wrestling,12
Bahamas,Athletics,17
Bahamas,Swimming,2
Bahrain,Athletics,8
Bahrain,Judo,1
Bahrain,Swimming,2
Bahrain,Weightlifting,2
Bahrain,Wrestling,1
Bangladesh,Archery,1
Bangladesh,Athletics,1
Bangladesh,Shooting,1
Bangladesh,Swimming,2
Barbados,Athletics,2
Barbados,Swimming,1
Barbados,Triathlon,1
Belgium,Artistic Gymnastics,5
Belgium,Athletics,43
Belgium,Badminton,2
Belgium,Basketball,12
Belgium,Boxing,3
Belgium,Canoe Sprint,3
Belgium,Cycling BMX Racing,4
Belgium,Cycling Mountain Bike,3
Belgium,Cycling Road,8
Belgium,Cycling Track,10
Belgium,Equestrian,12
Belgium,Fencing,1
Belgium,Golf,3
Belgium,Hockey,38
Belgium,Judo,4
Belgium,Rowing,3
Belgium,Sailing,8
Belgium,Sport Climbing,1
Belgium,Swimming,4
Belgium,Table Tennis,2
Belgium,Taekwondo,1
Belgium,Tennis,3
Belgium,Triathlon,4
Belgium,Weightlifting,1
Belize,Athletics,1
Benin,Athletics,2
Benin,Judo,1
Benin,Swimming,2
Bermuda,Athletics,1
Bermuda,Rowing,1
Bermuda,Sailing,1
Bermuda,Swimming,2
Bermuda,Triathlon,3
Bhutan,Archery,1
Bhutan,Athletics,1
Bhutan,Swimming,1
Bolivia,Athletics,2
Bolivia,Swimming,2
Bosnia and Herzegovina,Athletics,1
Bosnia and Herzegovina,Judo,2
Bosnia and Herzegovina,Swimming,2
Botswana,Athletics,12
Botswana,Swimming,2
Brazil,Archery,2
Brazil,Artistic Gymnastics,7
Brazil,Athletics,44
Brazil,Badminton,2
Brazil,Basketball,12
Brazil,Beach Volleyball,8
Brazil,Boxing,10
Brazil,Canoe Slalom,2
Brazil,Canoe Sprint,6
Brazil,Cycling BMX Freestyle,1
Brazil,Cycling BMX Racing,1
Brazil,Cycling Mountain Bike,2
Brazil,Cycling Road,2
Brazil,Diving,1
Brazil,Equestrian,9
Brazil,Fencing,3
Brazil,Football,22
Brazil,Handball,17
Brazil,Judo,13
Brazil,Marathon Swimming,3
Brazil,Modern Pentathlon,1
Brazil,Rhythmic Gymnastics,6
Brazil,Rowing,2
Brazil,Rugby Sevens,14
Brazil,Sailing,12
Brazil,Shooting,3
Brazil,Skateboarding,12
Brazil,Surfing,6
Brazil,Swimming,18
Brazil,Table Tennis,6
Brazil,Taekwondo,4
Brazil,Tennis,5
Brazil,Trampoline Gymnastics,2
Brazil,Triathlon,4
Brazil,Volleyball,26
Brazil,Weightlifting,2
Brazil,Wrestling,1
Brunei Darussalam,Athletics,1
Brunei Darussalam,Swimming,2
Bulgaria,Artistic Gymnastics,2
Bulgaria,Athletics,5
Bulgaria,Badminton,3
Bulgaria,Boxing,5
Bulgaria,Canoe Sprint,1
Bulgaria,Fencing,1
Bulgaria,Judo,2
Bulgaria,Modern Pentathlon,1
Bulgaria,Rhythmic Gymnastics,7
Bulgaria,Rowing,2
Bulgaria,Shooting,2
Bulgaria,Swimming,4
Bulgaria,Taekwondo,1
Bulgaria,Tennis,1
Bulgaria,Weightlifting,3
Bulgaria,Wrestling,6
Burkina Faso,Athletics,2
Burkina Faso,Cycling Road,1
Burkina Faso,Judo,1
Burkina Faso,Swimming,2
Burkina Faso,Taekwondo,2
Burundi,Athletics,4
Burundi,Judo,1
Burundi,Swimming,2
Cabo Verde,Athletics,1
Cabo Verde,Boxing,2
Cabo Verde,Fencing,1
Cabo Verde,Judo,1
Cabo Verde,Swimming,2
Cambodia,Athletics,1
Cambodia,Swimming,2
Cameroon,Athletics,2
Cameroon,Judo,1
Cameroon,Swimming,2
Cameroon,Table Tennis,1
Canada,3x3 Basketball,4
Canada,Archery,2
Canada,Artistic Gymnastics,10
Canada,Artistic Swimming,9
Canada,Athletics,50
Canada,Badminton,4
Canada,Basketball,24
Canada,Beach Volleyball,6
Canada,Boxing,2
Canada,Breaking,1
Canada,Canoe Slalom,2
Canada,Canoe Sprint,13
Canada,Cycling BMX Freestyle,1
Canada,Cycling BMX Racing,1
Canada,Cycling Mountain Bike,2
Canada,Cycling Road,4
Canada,Cycling Track,18
Canada,Diving,5
Canada,Equestrian,12
Canada,Fencing,15
Canada,Football,19
Canada,Golf,4
Canada,Judo,7
Canada,Marathon Swimming,1
Canada,Rowing,11
Canada,Rugby Sevens,14
Canada,Sailing,6
Canada,Shooting,3
Canada,Skateboarding,4
Canada,Surfing,1
Canada,Swimming,28
Canada,Table Tennis,4
Canada,Taekwondo,2
Canada,Tennis,5
Canada,Trampoline Gymnastics,1
Canada,Triathlon,3
Canada,Volleyball,13
Canada,Water Polo,13
Canada,Weightlifting,2
Canada,Wrestling,6
Cayman Islands,Athletics,1
Cayman Islands,Sailing,1
Cayman Islands,Swimming,2
Central African Republic,Athletics,1
Central African Republic,Judo,1
Central African Republic,Swimming,2
Chad,Archery,1
Chad,Athletics,1
Chad,Judo,1
Chile,Archery,1
Chile,Athletics,9
Chile,Beach Volleyball,2
Chile,Canoe Sprint,3
Chile,Cycling BMX Freestyle,1
Chile,Cycling BMX Racing,1
Chile,Cycling Mountain Bike,1
Chile,Cycling Road,1
Chile,Equestrian,1
Chile,Fencing,1
Chile,Golf,2
Chile,Judo,2
Chile,Modern Pentathlon,1
Chile,Rowing,4
Chile,Sailing,2
Chile,Shooting,2
Chile,Swimming,2
Chile,Table Tennis,3
Chile,Taekwondo,2
Chile,Tennis,3
Chile,Triathlon,2
Chile,Wrestling,2
Chinese Taipei,Archery,6
Chinese Taipei,Artistic Gymnastics,2
Chinese Taipei,Athletics,4
Chinese Taipei,Badminton,6
Chinese Taipei,Boxing,6
Chinese Taipei,Breaking,1
Chinese Taipei,Canoe Slalom,2
Chinese Taipei,Canoe Sprint,1
Chinese Taipei,Fencing,1
Chinese Taipei,Golf,4
Chinese Taipei,Judo,3
Chinese Taipei,Shooting,8
Chinese Taipei,Swimming,2
Chinese Taipei,Table Tennis,6
Chinese Taipei,Taekwondo,1
Chinese Taipei,Tennis,4
Chinese Taipei,Weightlifting,3
Colombia,Archery,4
Colombia,Artistic Gymnastics,2
Colombia,Athletics,18
Colombia,Boxing,5
Colombia,Canoe Sprint,1
Colombia,Cycling BMX Freestyle,1
Colombia,Cycling BMX Racing,5
Colombia,Cycling Mountain Bike,1
Colombia,Cycling Road,3
Colombia,Cycling Track,5
Colombia,Diving,3
Colombia,Equestrian,1
Colombia,Fencing,1
Colombia,Football,19
Colombia,Golf,3
Colombia,Judo,1
Colombia,Sailing,1
Colombia,Skateboarding,1
Colombia,Swimming,2
Colombia,Tennis,1
Colombia,Trampoline Gymnastics,1
Colombia,Triathlon,1
Colombia,Weightlifting,4
Colombia,Wrestling,4
Comoros,Athletics,1
Comoros,Canoe Slalom,1
Comoros,Swimming,2
Congo,Athletics,1
Congo,Swimming,2
Congo,Table Tennis,1
Cook Islands,Athletics,1
Cook Islands,Swimming,1
Costa Rica,Athletics,1
Costa Rica,Cycling Road,1
Costa Rica,Judo,1
Costa Rica,Surfing,1
Costa Rica,Swimming,2
Croatia,Artistic Gymnastics,2
Croatia,Athletics,9
Croatia,Boxing,1
Croatia,Canoe Slalom,1
Croatia,Canoe Sprint,1
Croatia,Cycling BMX Freestyle,1
Croatia,Handball,14
Croatia,Judo,3
Croatia,Rowing,5
Croatia,Sailing,6
Croatia,Shooting,3
Croatia,Swimming,3
Croatia,Table Tennis,4
Croatia,Taekwondo,3
Croatia,Tennis,4
Croatia,Water Polo,13
Cuba,Archery,1
Cuba,Athletics,18
Cuba,Beach Volleyball,2
Cuba,Boxing,5
Cuba,Canoe Sprint,3
Cuba,Cycling Road,1
Cuba,Diving,2
Cuba,Judo,4
Cuba,Modern Pentathlon,1
Cuba,Rowing,2
Cuba,Shooting,4
Cuba,Swimming,2
Cuba,Table Tennis,3
Cuba,Taekwondo,2
Cuba,Weightlifting,1
Cuba,Wrestling,10
Cyprus,Artistic Gymnastics,1
Cyprus,Athletics,3
Cyprus,Cycling Road,1
Cyprus,Fencing,1
Cyprus,Judo,1
Cyprus,Rhythmic Gymnastics,1
Cyprus,Sailing,4
Cyprus,Shooting,1
Cyprus,Swimming,2
Czechia,Archery,2
Czechia,Artistic Gymnastics,1
Czechia,Athletics,30
Czechia,Badminton,4
Czechia,Beach Volleyball,4
Czechia,Canoe Slalom,5
Czechia,Canoe Sprint,6
Czechia,Cycling BMX Freestyle,1
Czechia,Cycling Mountain Bike,2
Czechia,Cycling Road,2
Czechia,Cycling Track,2
Czechia,Equestrian,2
Czechia,Fencing,5
Czechia,Golf,2
Czechia,Judo,3
Czechia,Marathon Swimming,1
Czechia,Modern Pentathlon,4
Czechia,Rowing,6
Czechia,Sailing,3
Czechia,Shooting,9
Czechia,Sport Climbing,1
Czechia,Swimming,4
Czechia,Table Tennis,1
Czechia,Taekwondo,2
Czechia,Tennis,7
Czechia,Triathlon,1
Czechia,Weightlifting,1
Côte d'Ivoire,Athletics,7
Côte d'Ivoire,Fencing,2
Côte d'Ivoire,Judo,1
Côte d'Ivoire,Taekwondo,3
Democratic People's Republic of Korea,Artistic Gymnastics,1
Democratic People's Republic of Korea,Athletics,1
Democratic People's Republic of Korea,Boxing,2
Democratic People's Republic of Korea,Diving,3
Democratic People's Republic of Korea,Judo,1
Democratic People's Republic of Korea,Table Tennis,3
Democratic People's Republic of Korea,Wrestling,3
Democratic Republic of Timor-Leste,Athletics,1
Democratic Republic of Timor-Leste,Swimming,2
Democratic Republic of Timor-Leste,Taekwondo,1
Democratic Republic of the Congo,Athletics,1
Democratic Republic of the Congo,Boxing,2
Democratic Republic of the Congo,Judo,1
Democratic Republic of the Congo,Swimming,2
Denmark,Archery,1
Denmark,Athletics,4
Denmark,Badminton,9
Denmark,Boxing,1
Denmark,Canoe Sprint,7
Denmark,Cycling BMX Racing,2
Denmark,Cycling Mountain Bike,3
Denmark,Cycling Road,7
Denmark,Cycling Track,9
Denmark,Equestrian,6
Denmark,Golf,4
Denmark,Handball,33
Denmark,Judo,1
Denmark,Rowing,16
Denmark,Sailing,9
Denmark,Shooting,3
Denmark,Skateboarding,1
Denmark,Swimming,7
Denmark,Table Tennis,3
Denmark,Taekwondo,1
Denmark,Tennis,2
Denmark,Triathlon,2
Denmark,Wrestling,1
Djibouti,Athletics,4
Djibouti,Judo,1
Djibouti,Swimming,2
Dominica,Athletics,2
Dominica,Swimming,2
Dominican Republic,Artistic Gymnastics,1
Dominican Republic,Athletics,9
Dominican Republic,Boxing,3
Dominican Republic,Diving,3
Dominican Republic,Equestrian,1
Dominican Republic,Football,19
Dominican Republic,Judo,2
Dominican Republic,Shooting,1
Dominican Republic,Swimming,2
Dominican Republic,Taekwondo,2
Dominican Republic,Volleyball,12
Dominican Republic,Weightlifting,3
Dominican Republic,Wrestling,1
Ecuador,Athletics,15
Ecuador,Boxing,3
Ecuador,Cycling BMX Racing,1
Ecuador,Cycling Road,1
Ecuador,Equestrian,3
Ecuador,Judo,1
Ecuador,Marathon Swimming,1
Ecuador,Modern Pentathlon,2
Ecuador,Shooting,2
Ecuador,Swimming,2
Ecuador,Table Tennis,1
Ecuador,Triathlon,1
Ecuador,Weightlifting,3
Ecuador,Wrestling,4
Egypt,Archery,2
Egypt,Artistic Gymnastics,2
Egypt,Artistic Swimming,9
Egypt,Athletics,6
Egypt,Beach Volleyball,2
Egypt,Boxing,3
Egypt,Canoe Sprint,1
Egypt,Cycling Track,2
Egypt,Diving,4
Egypt,Fencing,21
Egypt,Football,19
Egypt,Handball,15
Egypt,Judo,2
Egypt,Modern Pentathlon,4
Egypt,Rhythmic Gymnastics,6
Egypt,Rowing,3
Egypt,Sailing,2
Egypt,Shooting,11
Egypt,Swimming,2
Egypt,Table Tennis,7
Egypt,Taekwondo,3
Egypt,Tennis,1
Egypt,Trampoline Gymnastics,1
Egypt,Volleyball,13
Egypt,Weightlifting,5
Egypt,Wrestling,11
El Salvador,Archery,1
El Salvador,Badminton,1
El Salvador,Judo,1
El Salvador,Sailing,1
El Salvador,Shooting,1
El Salvador,Surfing,1
El Salvador,Swimming,2
Equatorial Guinea,Athletics,2
Equatorial Guinea,Swimming,1
Eritrea,Athletics,8
Eritrea,Cycling Road,1
Eritrea,Swimming,2
Estonia,Archery,1
Estonia,Athletics,5
Estonia,Badminton,1
Estonia,Cycling Mountain Bike,1
Estonia,Cycling Road,1
Estonia,Equestrian,1
Estonia,Fencing,1
Estonia,Judo,1
Estonia,Rowing,4
Estonia,Sailing,2
Estonia,Shooting,2
Estonia,Swimming,2
Estonia,Weightlifting,1
Estonia,Wrestling,1
Eswatini,Athletics,1
Eswatini,Swimming,2
Ethiopia,Athletics,32
Ethiopia,Swimming,1
Federated States of Micronesia,Athletics,1
Federated States of Micronesia,Swimming,2
Fiji,Athletics,1
Fiji,Judo,1
Fiji,Rugby Sevens,27
Fiji,Sailing,2
Fiji,Swimming,2
Fiji,Table Tennis,1
Fiji,Taekwondo,2
Finland,Archery,1
Finland,Athletics,25
Finland,Badminton,1
Finland,Boxing,1
Finland,Cycling Mountain Bike,1
Finland,Cycling Road,1
Finland,Equestrian,6
Finland,Golf,4
Finland,Judo,2
Finland,Sailing,7
Finland,Shooting,3
Finland,Skateboarding,1
Finland,Swimming,2
Finland,Wrestling,2
France,3x3 Basketball,8
France,Archery,6
France,Artistic Gymnastics,6
France,Artistic Swimming,9
France,Athletics,87
France,Badminton,9
France,Basketball,24
France,Beach Volleyball,8
France,Boxing,8
France,Breaking,4
France,Canoe Slalom,6
France,Canoe Sprint,7
France,Cycling BMX Freestyle,2
France,Cycling BMX Racing,6
France,Cycling Mountain Bike,4
France,Cycling Road,7
France,Cycling Track,16
France,Diving,9
France,Equestrian,11
France,Fencing,24
France,Football,41
France,Golf,4
France,Handball,33
France,Hockey,35
France,Judo,14
France,Marathon Swimming,4
France,Modern Pentathlon,4
France,Rhythmic Gymnastics,6
France,Rowing,12
France,Rugby Sevens,25
France,Sailing,14
France,Shooting,15
France,Skateboarding,7
France,Sport Climbing,7
France,Surfing,4
France,Swimming,29
France,Table Tennis,6
France,Taekwondo,4
France,Tennis,9
France,Trampoline Gymnastics,2
France,Triathlon,6
France,Volleyball,26
France,Water Polo,26
France,Weightlifting,4
France,Wrestling,3
Gabon,Athletics,1
Gabon,Judo,1
Gabon,Swimming,2
Gabon,Taekwondo,1
Gambia,Athletics,3
Gambia,Judo,1
Gambia,Swimming,2
Gambia,Taekwondo,1
Georgia,Athletics,1
Georgia,Boxing,2
Georgia,Fencing,1
Georgia,Judo,10
Georgia,Shooting,1
Georgia,Swimming,2
Georgia,Trampoline Gymnastics,1
Georgia,Weightlifting,3
Georgia,Wrestling,7
Germany,3x3 Basketball,4
Germany,Archery,4
Germany,Artistic Gymnastics,8
Germany,Athletics,85
Germany,Badminton,4
Germany,Basketball,24
Germany,Beach Volleyball,6
Germany,Boxing,3
Germany,Canoe Slalom,5
Germany,Canoe Sprint,18
Germany,Cycling BMX Freestyle,1
Germany,Cycling BMX Racing,4
Germany,Cycling Mountain Bike,3
Germany,Cycling Road,6
Germany,Cycling Track,18
Germany,Diving,9
Germany,Equestrian,12
Germany,Fencing,2
Germany,Football,20
Germany,Golf,4
Germany,Handball,33
Germany,Hockey,36
Germany,Judo,10
Germany,Marathon Swimming,4
Germany,Modern Pentathlon,4
Germany,Rhythmic Gymnastics,7
Germany,Rowing,23
Germany,Sailing,14
Germany,Shooting,13
Germany,Skateboarding,2
Germany,Sport Climbing,3
Germany,Surfing,2
Germany,Swimming,25
Germany,Table Tennis,7
Germany,Taekwondo,1
Germany,Tennis,10
Germany,Trampoline Gymnastics,1
Germany,Triathlon,6
Germany,Volleyball,13
Germany,Wrestling,7
Ghana,Athletics,7
Ghana,Swimming,2
Great Britain,Archery,6
Great Britain,Artistic Gymnastics,10
Great Britain,Artistic Swimming,2
Great Britain,Athletics,67
Great Britain,Badminton,3
Great Britain,Boxing,6
Great Britain,Canoe Slalom,4
Great Britain,Cycling BMX Freestyle,2
Great Britain,Cycling BMX Racing,4
Great Britain,Cycling Mountain Bike,4
Great Britain,Cycling Road,7
Great Britain,Cycling Track,20
Great Britain,Diving,11
Great Britain,Equestrian,12
Great Britain,Golf,4
Great Britain,Hockey,34
Great Britain,Judo,5
Great Britain,Marathon Swimming,3
Great Britain,Modern Pentathlon,4
Great Britain,Rowing,42
Great Britain,Rugby Sevens,14
Great Britain,Sailing,14
Great Britain,Shooting,6
Great Britain,Skateboarding,3
Great Britain,Sport Climbing,4
Great Britain,Swimming,30
Great Britain,Table Tennis,2
Great Britain,Taekwondo,4
Great Britain,Tennis,7
Great Britain,Trampoline Gymnastics,3
Great Britain,Triathlon,5
Great Britain,Weightlifting,1
Greece,Artistic Gymnastics,1
Greece,Artistic Swimming,2
Greece,Athletics,13
Greece,Basketball,12
Greece,Cycling Road,1
Greece,Equestrian,1
Greece,Fencing,1
Greece,Judo,2
Greece,Marathon Swimming,1
Greece,Rowing,7
Greece,Sailing,4
Greece,Shooting,5
Greece,Swimming,16
Greece,Table Tennis,1
Greece,Tennis,4
Greece,Water Polo,26
Greece,Wrestling,3
Grenada,Athletics,4
Grenada,Swimming,2
Guam,Athletics,2
Guam,Canoe Sprint,1
Guam,Judo,1
Guam,Triathlon,1
Guam,Weightlifting,1
Guam,Wrestling,2
Guatemala,Athletics,5
Guatemala,Badminton,1
Guatemala,Judo,1
Guatemala,Modern Pentathlon,2
Guatemala,Sailing,1
Guatemala,Shooting,4
Guatemala,Swimming,2
Guinea,Archery,1
Guinea,Athletics,1
Guinea,Football,19
Guinea,Judo,2
Guinea,Swimming,2
Guinea-Bissau,Athletics,1
Guinea-Bissau,Judo,1
Guinea-Bissau,Swimming,1
Guinea-Bissau,Taekwondo,1
Guinea-Bissau,Wrestling,2
Guyana,Athletics,2
Guyana,Swimming,2
Guyana,Table Tennis,1
Haiti,Artistic Gymnastics,1
Haiti,Athletics,2
Haiti,Boxing,1
Haiti,Judo,1
Haiti,Swimming,2
Honduras,Athletics,1
Honduras,Swimming,2
Honduras,Wrestling,1
"Hong Kong, China",Artistic Gymnastics,1
"Hong Kong, China",Athletics,1
"Hong Kong, China",Badminton,6
"Hong Kong, China",Cycling Road,2
"Hong Kong, China",Cycling Track,1
"Hong Kong, China",Fencing,4
"Hong Kong, China",Judo,1
"Hong Kong, China",Rowing,1
"Hong Kong, China",Sailing,5
"Hong Kong, China",Swimming,7
"Hong Kong, China",Table Tennis,4
"Hong Kong, China",Taekwondo,1
"Hong Kong, China",Triathlon,1
Hungary,Artistic Gymnastics,4
Hungary,Athletics,17
Hungary,Boxing,3
Hungary,Canoe Sprint,16
Hungary,Cycling Mountain Bike,1
Hungary,Cycling Road,2
Hungary,Equestrian,1
Hungary,Fencing,15
Hungary,Handball,34
Hungary,Judo,7
Hungary,Marathon Swimming,3
Hungary,Modern Pentathlon,4
Hungary,Rhythmic Gymnastics,1
Hungary,Rowing,1
Hungary,Sailing,2
Hungary,Shooting,5
Hungary,Swimming,21
Hungary,Table Tennis,3
Hungary,Taekwondo,3
Hungary,Tennis,2
Hungary,Triathlon,3
Hungary,Water Polo,26
Hungary,Wrestling,5
Iceland,Athletics,1
Iceland,Shooting,1
Iceland,Swimming,2
Iceland,Triathlon,1
India,Archery,6
India,Athletics,29
India,Badminton,7
India,Boxing,6
India,Equestrian,1
India,Golf,4
India,Hockey,16
India,Judo,1
India,Rowing,1
India,Sailing,2
India,Shooting,21
India,Swimming,2
India,Table Tennis,6
India,Tennis,3
India,Weightlifting,1
India,Wrestling,6
Indonesia,Archery,4
Indonesia,Artistic Gymnastics,1
Indonesia,Athletics,1
Indonesia,Badminton,9
Indonesia,Cycling Track,1
Indonesia,Judo,1
Indonesia,Rowing,1
Indonesia,Shooting,1
Indonesia,Sport Climbing,4
Indonesia,Surfing,1
Indonesia,Swimming,2
Indonesia,Weightlifting,3
Iraq,Athletics,1
Iraq,Football,19
Iraq,Judo,1
Iraq,Swimming,1
Iraq,Weightlifting,1
Ireland,Artistic Gymnastics,1
Ireland,Athletics,25
Ireland,Badminton,2
Ireland,Boxing,10
Ireland,Canoe Slalom,4
Ireland,Cycling Road,3
Ireland,Cycling Track,5
Ireland,Diving,2
Ireland,Equestrian,9
Ireland,Golf,4
Ireland,Hockey,17
Ireland,Marathon Swimming,1
Ireland,Rowing,16
Ireland,Rugby Sevens,28
Ireland,Sailing,4
Ireland,Swimming,12
Ireland,Taekwondo,1
Islamic Republic of Iran,Archery,1
Islamic Republic of Iran,Artistic Gymnastics,1
Islamic Republic of Iran,Athletics,2
Islamic Republic of Iran,Canoe Sprint,2
Islamic Republic of Iran,Cycling Road,1
Islamic Republic of Iran,Fencing,4
Islamic Republic of Iran,Rowing,3
Islamic Republic of Iran,Shooting,4
Islamic Republic of Iran,Sport Climbing,1
Islamic Republic of Iran,Swimming,1
Islamic Republic of Iran,Table Tennis,3
Islamic Republic of Iran,Taekwondo,4
Islamic Republic of Iran,Weightlifting,2
Islamic Republic of Iran,Wrestling,12
Israel,Archery,2
Israel,Artistic Gymnastics,2
Israel,Artistic Swimming,2
Israel,Athletics,7
Israel,Badminton,1
Israel,Cycling Mountain Bike,1
Israel,Cycling Road,2
Israel,Cycling Track,1
Israel,Equestrian,3
Israel,Fencing,1
Israel,Football,19
Israel,Judo,12
Israel,Marathon Swimming,1
Israel,Rhythmic Gymnastics,6
Israel,Sailing,8
Israel,Shooting,1
Israel,Surfing,1
Israel,Swimming,17
Israel,Taekwondo,1
Israel,Triathlon,1
Italy,Archery,4
Italy,Artistic Gymnastics,10
Italy,Artistic Swimming,9
Italy,Athletics,79
Italy,Badminton,1
Italy,Beach Volleyball,6
Italy,Boxing,8
Italy,Breaking,1
Italy,Canoe Slalom,4
Italy,Canoe Sprint,3
Italy,Cycling BMX Racing,2
Italy,Cycling Mountain Bike,4
Italy,Cycling Road,8
Italy,Cycling Track,14
Italy,Diving,8
Italy,Equestrian,5
Italy,Fencing,24
Italy,Golf,3
Italy,Judo,13
Italy,Marathon Swimming,4
Italy,Modern Pentathlon,4
Italy,Rhythmic Gymnastics,7
Italy,Rowing,34
Italy,Sailing,12
Italy,Shooting,15
Italy,Skateboarding,2
Italy,Sport Climbing,4
Italy,Surfing,1
Italy,Swimming,36
Italy,Table Tennis,2
Italy,Taekwondo,3
Italy,Tennis,9
Italy,Triathlon,5
Italy,Volleyball,26
Italy,Water Polo,26
Italy,Weightlifting,3
Italy,Wrestling,3
Jamaica,Athletics,61
Jamaica,Diving,1
Jamaica,Judo,1
Jamaica,Swimming,2
Japan,Archery,4
Japan,Artistic Gymnastics,9
Japan,Artistic Swimming,9
Japan,Athletics,56
Japan,Badminton,12
Japan,Basketball,24
Japan,Beach Volleyball,2
Japan,Boxing,2
Japan,Breaking,4
Japan,Canoe Slalom,4
Japan,Cycling BMX Freestyle,1
Japan,Cycling BMX Racing,2
Japan,Cycling Mountain Bike,1
Japan,Cycling Road,2
Japan,Cycling Track,15
Japan,Diving,5
Japan,Equestrian,8
Japan,Fencing,18
Japan,Football,43
Japan,Golf,4
Japan,Handball,14
Japan,Hockey,16
Japan,Judo,14
Japan,Marathon Swimming,2
Japan,Modern Pentathlon,2
Japan,Rowing,5
Japan,Rugby Sevens,26
Japan,Sailing,7
Japan,Shooting,3
Japan,Skateboarding,10
Japan,Sport Climbing,4
Japan,Surfing,4
